,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
109,https://www.acnc.gov.au/charity/charities/d8f41843-39af-e811-a963-000d3ad24077/profile,The Trustee For William Peacock Estate Uniting Church Property Trust,Unavailable,Unavailable,Registered,Small,57473479231,,,
110,https://www.acnc.gov.au/charity/charities/051e1149-39af-e811-a963-000d3ad24077/profile,Wallsend Baptist Community Centre Incorporated,Wallsend,NSW,Registered,Small,18280648489,,,
111,https://www.acnc.gov.au/charity/charities/e54cc224-39af-e811-a963-000d3ad24077/profile,The Association Of The Catechesis Of The Good Shepherd (Australia) Limited,Graceville,QLD,Registered,Small,30097016414,,,
112,https://www.acnc.gov.au/charity/charities/6452c224-39af-e811-a963-000d3ad24077/profile,St Kevin's Parents And Friends Association,Geebung,QLD,Registered,Small,88773676343,,,
113,https://www.acnc.gov.au/charity/charities/75256a1c-39af-e811-a963-000d3ad24077/profile,Anglican Trusts Corporation Of The Diocese Of Gippsland,Lang Lang,VIC,Registered,Small,80656520300,,,
114,https://www.acnc.gov.au/charity/charities/a054c224-39af-e811-a963-000d3ad24077/profile,Stirling Education Trust,Gnowangerup,WA,Registered,Small,88728475173,,,
115,https://www.acnc.gov.au/charity/charities/98256a1c-39af-e811-a963-000d3ad24077/profile,Central Queensland Youth Links Inc,Rockhampton City,QLD,Registered,Small,71606295328,,,
116,https://www.acnc.gov.au/charity/charities/55296a1c-39af-e811-a963-000d3ad24077/profile,Cabramatta Vineyard Church Incorporated,Cabramatta West,NSW,Registered,Small,80557840311,,,
117,https://www.acnc.gov.au/charity/charities/0f54c224-39af-e811-a963-000d3ad24077/profile,Clyde River & Batemans Bay Historical Society Inc,Batemans Bay,NSW,Registered,Small,24004213040,,,
118,https://www.acnc.gov.au/charity/charities/ba236a1c-39af-e811-a963-000d3ad24077/profile,The Trustee For Stanford Australia Foundation,Sydney,NSW,Registered,Small,71603543553,,,
119,https://www.acnc.gov.au/charity/charities/8b51c224-39af-e811-a963-000d3ad24077/profile,Ballarat Gospel Radio Incorporated,Wendouree,VIC,Registered,Small,88714783084,,,
120,https://www.acnc.gov.au/charity/charities/8857c224-39af-e811-a963-000d3ad24077/profile,Conquerors Congregation Ministries International Incorporated,Granville,NSW,Registered,Small,57295803015,,,
121,https://www.acnc.gov.au/charity/charities/9e54c224-39af-e811-a963-000d3ad24077/profile,Greek Orthodox Church And Community Of Panayia Gorgoepicoos Original Old Calendar Melbourne and Victoria Incorporated,Unavailable,Unavailable,Registered,Small,24236920267,,,
122,https://www.acnc.gov.au/charity/charities/cb266a1c-39af-e811-a963-000d3ad24077/profile,The Anglican Parish Of Lockleys,Brooklyn Park,SA,Registered,Small,80621006934,,,
123,https://www.acnc.gov.au/charity/charities/7c53c224-39af-e811-a963-000d3ad24077/profile,KRM Ministries Inc.,Westminster,WA,Registered,Small,88778652864,,,
124,https://www.acnc.gov.au/charity/charities/9a59c224-39af-e811-a963-000d3ad24077/profile,City Language Learning Centre Inc,Footscray,VIC,Registered,Small,57309550955,,,
125,https://www.acnc.gov.au/charity/charities/7753c224-39af-e811-a963-000d3ad24077/profile,St Andrews Anglican Church Somerville,Somerville,VIC,Registered,Small,88723394874,,,
126,https://www.acnc.gov.au/charity/charities/b656c224-39af-e811-a963-000d3ad24077/profile,The Union Of Christians From Constantinople In Vic,Unavailable,Unavailable,Registered,Small,47065022499,,,
127,https://www.acnc.gov.au/charity/charities/6b221149-39af-e811-a963-000d3ad24077/profile,St Albans Vietnamese Christian And Missionary Alliance Church,Stalbans,VIC,Registered,Small,62543954496,,,
128,https://www.acnc.gov.au/charity/charities/19ec1843-39af-e811-a963-000d3ad24077/profile,Uniting Church In Australia Renmark Parish,Renmark,SA,Registered,Small,47377341409,,,
